personen_kremsId,personenId,art,handelsgut
283,173,2,Weihrauch
284,174,,Krämerei
285,174,,Alaun
286,175,,Krämerei
287,175,,Alaun
288,176,,Haar
289,176,,Werg
290,177,,Tuch
291,178,,Messer
292,179,2,Juchten
293,180,,Tuch
294,181,1,Leim
295,182,,Käse
296,183,1,Rupfen
297,183,1,Leinwand
298,183,1,Zwirn
299,184,2,Juchten
300,185,,Geschmeide
301,185,,Holzwaren
302,186,1,Rundfische
303,186,1,Flachfische
304,186,1,Heringe
305,186,1,Käse
306,187,,Krämerei
307,187,,Leim
308,187,,Schaffelle
309,187,,Fischschmalz
310,187,,Kienruß
311,187,,Felle
312,187,,Leder
313,187,,Lammfelle
314,188,2,Kastanien
315,189,2,Fischschmalz
316,190,1,Öl
317,191,,Röte
318,192,,Kastanien
319,195,,Juchten
320,196,2,Tabak
321,198,,Federn
322,199,,Tuch
323,200,,Tuch
324,200,,Zeug
325,203,2,Weinstein
326,203,2,Öl
327,203,2,Kastanien
328,203,1,Röte
329,203,1,Trüb
330,203,2,Weinbeeren
331,203,2,Lorbeer
332,203,2,Spezerei
333,203,2,Schwefel
334,203,2,Gelbe Erde
335,203,2,Messing
336,203,2,Senf
337,203,2,Nüsse
338,203,2,Krämerei
339,203,2,Rotbraun
340,204,2,Nüsse
341,204,2,Krämerei
342,205,1,Tuch
343,205,1,Socken
344,206,2,Juchten
345,206,2,Pfundhäute
346,207,,Kirchenware
347,208,1,Tabak
348,208,1,Pfeffer
349,208,1,Weihrauch
350,208,2,Wachs
351,209,2,Anis
352,210,,Kapern
353,210,1,Öl
354,210,1,Reis
355,210,,Weinbeeren
356,210,1,Baumwolle
357,211,,Larven
358,212,1,Krämerei
359,213,2,Stockfisch
360,214,,Leinwand
361,215,1,Juchten
362,215,1,Röten
363,216,2,Geschmeide
364,218,2,Kastanien
365,219,1,Kastanien
366,220,2,Kastanien
367,221,,Tuch
368,221,,Leinwand
369,221,,Seife
370,221,,Baumwolle
371,221,,Gläser
372,221,,Weinbeeren
373,221,,Beschlagenes Gut
374,221,,Zucker
375,221,2,Baumöl
376,222,2,Früchte
389,222,2,Wein (Tiroler)
390,222,2,Wein (Vernaccio)
391,222,2,Kastanien
392,225,1,Wachs
393,226,1,Federn
394,226,1,Schafwolle
397,225,,Messing
398,228,,Früchte
399,228,2,Kastanien
400,229,2,Tabak
401,229,,Wachs
403,230,1,Messing
404,231,,Welschgut
405,231,,Beschlagenes Gut
406,231,,Spalier
407,232,1,Blei
408,233,2,Kastanien
409,233,,Tuch
410,233,1,Stockfisch
411,233,,Pfeffer
412,233,,Zimt
413,233,,Muskatnuss
414,233,,Muskatblüte
415,233,,Gewürznelken
416,235,2,Tabak
417,236,1,Geschmeide
418,237,1,Pfeffer
419,237,1,Juchten
420,237,1,Indigo
421,237,1,Kapern
422,237,2,Tabak
423,237,2,Pfeffer
424,237,,Ingwer
425,237,2,Zinn
426,237,2,Messing
427,237,2,Röte
428,238,,Muskatnuss
429,238,1,Juchten
430,238,2,Prisil
431,238,2,Juchten
432,239,2,Federn
433,239,2,Schafwolle
434,240,2,Tabak
435,241,2,Tabak
436,242,1,Häute (gearbeitet)
437,243,,Papier
438,244,1,Käse
439,245,2,Juchten
440,246,2,Kastanien
441,248,,Leinwand
442,248,,Juchten
443,248,,Käse
444,249,2,Leinwand
445,251,,Zeug
446,252,,Krämerei
447,252,2,Öl
448,252,,Gewandschnitt
449,252,2,Tuch
450,253,,Zwirn
451,254,2,Krämerei
452,254,,Tuch
453,254,2,Öl
454,254,,Gewandschnitt
455,254,,Leinwand
456,254,2,Farbe (rot)
457,254,2,Heringe
458,255,,Kastanien
459,256,2,Sensen
460,256,2,Geschmeide
461,257,2,Tabak
462,258,,Seidenware
463,259,,Beschlagenes Gut
464,259,,Birnen
465,259,,Tuch
466,260,,Juchten
467,261,1,Öl
468,262,,Weinstein
469,263,1,Käse
470,264,,Krämerei
471,265,2,Röte
472,265,2,Tabak
473,265,2,Baumöl
474,265,2,Öl
475,265,1,Kupfer
476,266,2,Leim
477,267,2,Schleifsteine
478,268,2,Weinbeeren
479,269,1,Wolle
480,270,2,Tabak
481,223,2,Feigen
482,223,2,Lorbeer
483,223,2,Mandeln
484,223,2,Reis
485,223,2,Senf
486,223,2,Limonen
487,223,2,Schwefel
488,223,2,Käse (Parmesan)
489,223,2,Wein
490,223,2,Surlemoni
491,223,2,Sardellen
492,223,2,Oliven
493,272,2,Indigo
494,272,2,Tabak
495,272,1,Wachs
496,273,2,Tabak
497,273,1,Schafwolle
498,7997,1,Federn
499,7997,2,Tabak
500,274,,Nadlerware
501,275,1,Zwirn
502,277,2,Leinwand
503,277,2,Zeug
504,277,2,Schliff
505,277,2,Krämerei
506,278,2,Kastanien
507,279,,Tuch
508,280,,Heringe
509,289,,Heringe
510,289,,Nüsse
511,281,,Glätte
512,281,2,Öl
513,282,1,Haar
514,282,1,Werch
515,282,1,Butter
516,283,,Nüsse
517,284,2,Schliff
518,284,2,Braunrot
519,284,2,Spezerei
520,284,2,Kastanien
521,285,2,Kastanien
522,285,2,Weinbeeren
523,286,2,Juchten
524,287,2,Kastanien
525,287,1,Haar
526,287,1,Werg
527,287,1,Butter
528,287,2,Spezerei
529,287,2,Weinbeeren
530,287,2,Weinstein
531,290,1,Kämme
532,291,1,Juchten
533,291,,Gallus
534,291,1,Spezerei
535,291,1,Zucker
536,291,1,Drogen
537,291,1,Prisil
538,291,1,Berggrün
539,291,1,Pfeffer
540,294,,Lorbeer
541,294,,Limonen
542,294,,Reis
543,294,,Kapern
544,295,2,Heringe
545,295,2,Rupfen
546,295,2,Krämerei
547,296,2,Heringe
548,296,2,Krämerei
549,297,1,Weinstein
550,297,,Seife
551,297,,Garn
552,298,2,Leinwand
553,298,2,Rupfen
554,298,2,Krämerei
555,299,2,Röte
556,299,2,Juchten
557,299,2,Zucker
558,299,2,Krämerei
559,299,2,Braunrot
560,299,2,Tabak
561,299,2,Stockfisch
562,299,2,Wachs
563,299,1,Glöckel (alt)
564,300,2,Tabak
565,301,2,Krämerei
566,301,2,Öl
567,301,2,Zucker
568,301,2,Rupfen
569,301,2,Juchten
570,301,2,Kastanien
571,301,2,Reis
572,301,2,Käse
573,302,2,Kastanien
574,302,2,Haar
