personen_firmenbeteiligungenId,personenId1,personenId2
545,46821,10693
546,46823,46821
547,46824,37701
548,46825,21313
549,46826,26145
550,46828,46827
551,46829,46771
552,46831,46830
553,46834,46833
554,46836,46835
555,46842,46841
556,46848,46785
557,46849,46785
558,46850,46849
559,46852,46243
560,46853,9918
561,46854,46853
562,46855,46853
564,34278,8416
565,46856,8416
566,46857,8095
567,46858,35903
568,46859,9628
569,46861,46860
570,46862,8583
571,46863,3764
572,46863,43918
573,46864,8405
574,46865,9093
575,46866,10641
576,46867,8419
577,46868,46273
578,46869,9008
579,46870,8812
580,46872,46871
581,46874,46873
582,46875,21017
586,17566,46877
587,10730,46716
588,46878,10730
589,46879,46878
590,46881,28418
591,46882,11956
592,46883,18974
593,46885,46884
594,46886,11940
595,46890,46889
596,46892,46891
597,46894,46893
598,46895,25004
599,46896,25004
600,46897,46896
601,46898,46896
602,46899,8263
603,46900,9611
605,46902,46901
606,46903,8413
607,46909,24852
608,46911,46910
609,46915,46914
610,46917,46915
611,9344,38549
612,46920,46919
613,46923,46922
614,46925,30195
615,46928,46927
616,46929,46729
617,46933,46932
618,46934,46932
619,46935,46934
620,46941,46940
621,46943,46942
622,46948,17762
623,46949,9287
624,46951,46950
625,46952,46950
626,44148,46951
627,10345,8272
628,46954,8272
629,8754,10345
630,46955,12542
631,46956,12636
632,43611,46956
633,46958,46957
634,46959,44080
635,14642,46959
636,29681,44080
637,46961,46960
638,46962,7111
639,46963,8326
640,46964,7269
641,46965,9489
642,46967,46966
643,46968,8599
644,46971,46970
645,46972,9870
646,46973,26085
647,46974,46973
648,46975,8924
649,46976,9964
650,46978,46977
651,46979,8595
652,46981,46980
653,46982,24795
654,46983,10180
655,46984,46983
656,46985,23591
657,46987,46986
658,46989,46988
659,9643,46988
660,27575,8331
661,46990,8331
662,46991,27575
663,46993,46992
664,46995,46994
665,46997,46996
666,46998,14589
667,18158,14589
668,47001,47000
669,47002,20609
670,47003,29323
671,47004,21287
672,47006,47005
673,47007,23509
674,47009,47008
676,19149,24036
677,9118,19149
679,47013,21604
680,47015,29902
681,47016,38567
682,47019,47018
683,47023,47022
684,47028,47027
685,47029,47028
686,47031,25597
687,47033,47032
688,47038,47037
689,47044,47043
690,8333,9030
691,47049,9030
692,47050,37670
693,47052,8277
694,47054,8097
696,12708,47055
697,47056,1115
698,47058,47057
699,10906,16575
700,47062,10906
701,47063,11305
702,47065,1321
703,47067,47066
704,47068,12360
705,47069,47068
706,47071,47070
707,47073,8410
709,47075,12874
710,47076,17700
711,47078,47077
712,47080,47079
713,47081,8188
714,47083,47082
715,47084,9128
716,47085,18166
717,47087,47086
718,47088,8673
719,47090,47089
720,47091,14199
721,47092,8411
722,47094,8801
723,47095,12378
724,47096,43898
725,47097,14315
726,47099,47098
727,47102,47101
728,21998,15206
729,47103,21998
730,43912,15206
731,47105,30269
732,8264,30269
733,46767,8264
734,47107,47106
735,47108,12455
736,47109,9478
737,47111,47110
738,47112,47111
739,47114,47113
740,47115,24741
741,47116,9487
742,47117,22363
743,23970,42886
744,39394,42886
745,47118,42886
746,47119,42886
747,47120,39394
748,47121,47119
749,43810,23970
750,47124,28972
751,47126,47125
752,47127,47126
753,47128,29648
754,47130,47129
755,47133,29979
756,47134,47133
757,47135,29979
758,47138,47137
759,47140,37086
760,47143,47142
761,47146,46838
762,47149,47148
763,47151,47150
764,47152,47151
765,47154,47153
766,47157,47156
767,47158,47156
768,47161,47159
769,47162,47157
770,47163,43798
771,47166,47165
772,1411,47074
773,47174,47173
774,47174,47172
775,40012,43810
776,40012,4694
777,47176,43810
778,47176,30391
780,43815,40012
781,30391,40012
782,47179,47178
783,47180,47178
784,47181,47180
785,47183,47182
786,47184,47178
787,47186,47185
788,47187,47186
789,47191,47190
790,47197,10385
791,47197,44055
792,47198,9950
793,47199,46104
794,47200,9057
795,47201,41601
796,47202,42612
797,47203,18128
798,47204,8980
799,47205,8743
800,47206,46105
802,46106,41865
803,47207,9344
804,46108,47207
805,41599,47207
806,47208,8515
807,47209,46110
808,47210,32417
809,47211,2848
810,47212,31160
812,47213,46127
813,47214,8589
814,47215,8744
815,47216,14080
816,47217,34859
817,47218,46112
818,47219,15573
819,47220,10267
820,47221,40943
821,47222,12477
822,47223,16003
823,47224,9731
824,47224,46113
825,47225,8096
826,47226,46115
827,47227,46116
828,47228,46117
829,47229,46118
830,47230,46119
831,47231,8752
832,47232,24324
833,47233,46122
834,47234,43179
835,47235,46123
836,47236,17087
837,47237,46125
838,47238,46126
839,47239,46128
840,47240,46130
841,47241,28337
842,47242,46131
843,47243,23514
844,47244,46136
845,47245,46137
846,47246,46138
847,47247,24742
848,47248,19640
849,47249,46140
850,47250,13619
851,47251,46142
852,47252,8799
853,47253,35115
854,47254,30180
855,47255,46148
856,47256,42662
857,43894,23481
858,47257,46156
859,47258,46159
860,47259,46165
861,47260,29693
862,47261,46168
863,47262,41747
864,47263,46174
865,47264,46176
866,47265,43887
867,47266,46180
868,47267,11577
869,47268,12086
870,47269,11869
871,47270,9684
873,15308,9684
874,15308,43785
875,47271,17362
876,47272,9481
877,47273,8412
878,47274,13459
879,9690,43805
880,9690,43806
881,9690,43808
882,9690,43809
883,9690,24663
884,9690,22880
885,43807,13459
886,47275,4694
888,4694,43846
889,43846,43814
890,43846,43813
891,47276,43846
892,43811,4694
893,47277,9414
894,43816,9414
895,43816,43817
896,47278,8615
897,47279,24198
898,47281,47280
899,47282,43835
900,47283,10272
901,13226,10272
902,43836,43839
903,47284,43608
904,47285,11161
905,44788,11161
906,44788,9824
907,47286,43842
908,47287,9058
909,47288,8923
910,43843,8923
912,43843,43844
913,47289,279
914,47290,9136
915,47291,10559
916,47292,8116
917,43847,43848
918,47293,43847
919,47294,43849
920,47295,20719
921,47296,13158
922,47297,43851
923,47298,43852
924,47299,20661
925,47300,43853
926,47301,4528
927,47302,15867
928,47303,9612
929,47304,43879
930,47305,10201
931,47307,5251
932,47308,37766
933,47309,5112
934,47310,9677
935,47311,9488
936,47312,43881
937,47313,14705
938,47314,9952
939,47315,43883
940,47316,10321
941,47317,43884
942,47318,9548
943,47319,43888
944,47320,15544
945,47321,39771
946,47322,23646
947,43889,9072
948,47323,28746
949,43889,47323
950,43890,9072
951,47325,43891
952,47326,43892
953,47328,47327
954,47329,9070
955,47330,43785
956,47331,8594
957,47332,8423
958,47333,10013
959,47334,43895
960,47335,43788
961,47336,43896
962,47336,43897
963,43898,47336
964,47337,43899
965,47337,43900
966,47338,43901
967,47339,43902
968,36354,43903
969,47340,36354
970,43903,10683
971,47340,9133
972,43904,43903
973,8593,43903
974,16922,47340
975,15932,47340
976,47341,4646
977,4646,13208
978,23672,43908
979,47342,43909
980,47343,22697
981,47344,12565
982,47345,43910
983,47347,39083
984,47348,43912
985,47349,19355
986,19355,43913
987,43913,25146
988,47350,23655
989,47351,29664
990,47352,8747
991,47353,43920
992,47354,24968
993,47355,22485
994,47357,30347
995,47358,27912
996,16940,29663
997,47360,21476
998,43934,21476
999,43936,43934
1000,47361,43938
1001,47362,30064
1002,47363,43940
1003,47364,36092
1004,47365,43942
1005,43944,43946
1006,43946,43945
1007,29682,43946
1008,43947,43944
1009,43948,43944
1010,42886,47175
1011,43944,43947
1013,43950,43951
1014,43953,43951
1015,47367,47366
1016,47368,37177
1017,47369,37039
1018,47371,47370
1019,47372,43955
1020,47373,43956
1021,43957,47373
1022,47374,43958
1023,43959,47374
1024,47375,43928
1025,47376,43929
1026,25660,43930
1027,43933,43932
1028,43960,43962
1029,43962,43961
1030,47378,43963
1031,47379,43795
1032,47380,43966
1033,47381,43968
1034,47383,43969
1035,43973,47383
1036,43972,47383
1037,47384,43974
1038,47385,43977
1039,46753,43977
1040,47386,43979
1041,47387,43981
1042,47388,43982
1043,47389,43984
1044,47390,43986
1045,47392,43996
1046,47393,44035
1047,47394,44037
1048,47395,12722
1049,47396,9867
1050,47397,8495
1051,47398,8495
1052,47400,47399
1053,47401,10643
1055,43903,9133
1056,47404,47403
1057,13222,20968
1058,47405,20968
1059,47406,20968
1060,47407,8816
1061,47408,9920
1062,47410,47409
1063,47411,12698
1064,47412,6108
1065,47413,47412
1066,47415,10060
1067,47417,47416
1068,47418,15475
1069,47420,47419
1070,47421,8418
1071,47422,21800
1072,47424,12358
1073,47425,9735
1074,47427,47426
1075,47428,8802
1076,47430,16482
1077,47431,46365
1078,47432,9053
1080,8439,47433
1081,47437,47436
1082,47438,15292
1083,47439,10324
1084,47440,18219
1085,47441,8202
1086,47442,9051
1087,47443,10901
1088,47446,47445
1089,47447,19763
1090,47449,47448
1091,47451,47450
1092,47453,47452
1093,47455,47454
1094,47456,21127
1095,47457,16654
1096,47459,47458
1097,47461,47460
1098,47462,24868
1099,47464,47463
1100,47466,47465
1101,37941,43782
1102,12817,43782
1103,47467,37941
1104,47468,37941
1105,47469,9138
1106,47470,23401
1107,47471,47470
1108,47473,47472
1109,47475,47474
1110,47476,43787
1111,47477,47478
1112,47479,47478
1113,47480,31324
1114,47481,12099
1115,47482,18530
1116,47484,47483
1117,47485,43870
1118,47486,23508
1119,47488,24071
1120,47489,11998
1121,47491,47490
1122,47492,26303
1123,47493,15956
1124,47494,47493
1125,47496,47495
1126,47497,10071
1127,47499,26327
1128,23727,47499
1129,47500,16488
1130,47502,47501
1131,47504,47503
1132,47506,47505
1133,47507,23562
1134,47508,11621
1135,47509,14033
1136,47510,23529
1137,47511,25582
1138,43783,30445
1139,47513,47512
1140,47514,47513
1141,46952,47512
1142,46952,47514
1143,47517,47513
1144,47518,47513
1145,47520,47519
1146,47519,8105
1147,47522,47521
1148,47526,47525
1149,47530,47529
1150,47532,38569
1151,47534,34998
1152,47537,33707
1153,33707,46349
1154,47539,38120
1155,47541,36936
1156,47543,47542
1157,47547,47546
1158,47550,43989
1159,47552,46766
1160,47553,46153
1161,47554,47553
1162,47555,46153
1163,47556,47555
1164,47559,47558
1165,47562,47561
1166,47566,47565
1167,47569,47568
1168,47572,47571
1169,44051,44048
1170,47575,44051
1171,8487,43987
1172,47576,43987
1173,47578,47577
1174,47583,47582
1175,47587,47586
1176,47590,47588
1177,47594,47593
1178,47597,47596
1179,47601,47600
1180,47602,22079
1181,47604,47603
1182,47613,47612
1183,12423,47213
1184,30208,17743
1185,8953,22884
1186,32524,16362
1187,32524,11712
1188,8682,11712
1189,8682,8970
1190,18982,11712
1191,8970,32524
1192,8970,18982
1193,10123,14241
1194,292,14241
1195,7998,14146
1196,19170,12822
1197,10050,19170
1198,13378,34750
1199,34750,10829
1200,44054,17821
1201,44054,44048
1202,12064,41827
1203,36834,33028
1204,24111,16774
1205,10356,16774
1206,47624,47357
1207,484,47213
1208,1118,47073
1209,88,22017
1210,48135,3539
1211,48135,3540
1212,47929,44054
1213,48003,627
1214,48059,3908
1215,40773,21478
1216,40773,25779
1217,40824,8367
1218,40824,8579
1219,40395,41648
1220,40395,18378
1221,40395,21478
1222,19422,17494
1223,11708,811
1224,24272,22543
1225,25501,24598
1226,14690,23905
1227,39960,23905
1228,35228,23984
1229,35228,18099
1230,40073,8910
1231,3759,46858
1232,34384,45266
1233,34384,34683
1234,1329,47926
1235,48548,43924
1236,32659,48003
