hauptdokument_verkaeufer_name_vkId,id,personenId
1,5896,28
2,18,47
3,926,47
4,1375,47
5,1404,47
6,3275,47
7,3574,47
8,3575,47
9,3595,47
10,3597,47
11,3772,47
12,3808,47
13,3921,47
14,4094,47
15,4532,47
16,5757,47
17,5858,47
18,5871,47
19,2841,48
20,429,50
21,702,50
22,1742,50
23,2069,50
24,647,52
25,5816,54
26,3301,57
27,3937,57
28,5162,57
29,561,60
30,562,60
31,561,61
32,562,61
33,2842,71
34,2967,71
35,4265,71
36,674,74
37,715,74
38,789,74
39,869,74
40,887,74
41,1137,76
42,2355,78
43,4418,80
44,5002,85
45,4250,88
46,4416,88
47,4819,88
48,4250,89
49,4416,89
50,4819,89
51,3088,95
52,3260,95
53,3410,95
54,3471,95
55,3762,95
56,3869,95
57,4077,95
58,4752,103
59,1435,111
60,2593,111
61,1435,112
62,2593,112
63,4964,115
64,5830,116
65,383,117
66,2828,131
67,3988,131
68,3989,131
69,4023,131
70,4024,131
71,4026,131
72,4034,131
73,4035,131
74,4244,131
75,4262,131
76,4263,131
77,4833,131
78,5210,131
79,5628,131
80,5634,131
81,5635,131
82,5636,131
83,5637,131
84,5653,131
85,3963,132
86,4447,132
87,4448,132
88,4826,132
89,4828,132
90,4831,132
91,392,137
92,655,137
93,667,137
94,1688,137
95,1994,137
96,5247,139
97,5320,139
98,5531,141
99,5568,141
100,5048,150
101,754,151
102,1062,151
103,754,157
104,1062,157
105,5174,160
106,709,161
107,1015,161
108,709,162
109,1015,162
110,1392,178
111,5533,182
112,783,186
113,5235,191
114,5690,191
115,5840,191
116,2601,195
117,2746,195
118,2751,195
119,2601,197
120,2746,197
121,2751,197
122,5899,199
123,398,203
124,412,203
125,1678,203
126,1694,203
127,1750,203
128,543,212
129,1874,212
130,2395,212
131,4393,228
132,4851,231
133,5190,231
134,5233,231
135,5294,231
136,5342,231
137,5353,231
138,5373,231
139,5386,231
140,5393,231
141,5522,231
142,5537,231
143,5578,231
144,5597,231
145,5884,231
146,5942,231
147,5950,231
148,2840,234
149,343,238
150,1186,238
151,1108,253
152,4456,255
153,2944,260
154,1297,268
155,1220,276
156,5222,291
157,4298,292
158,4808,292
159,4548,294
160,4919,294
161,5725,294
162,3386,306
163,3437,306
164,3386,308
165,3437,308
166,3386,309
