hauptdokument_verkaeufer_firmaId,id,firmaInstitutionId
466,4755,85
467,5139,85
468,2487,86
469,2586,86
470,2594,86
471,2496,87
472,2497,88
473,2507,89
474,2532,89
475,2530,90
476,2539,90
477,2544,90
478,2551,90
479,2581,90
480,2644,90
481,2660,90
482,2722,90
483,2726,90
484,2729,90
485,2764,90
486,2320,92
487,2550,92
488,2772,92
489,6857,92
490,7164,92
491,7285,92
492,8099,92
493,2561,93
494,2569,93
495,2720,93
496,2755,93
497,2563,94
498,2739,94
499,2573,95
500,2587,96
501,2774,96
502,2592,97
503,2596,97
504,2723,97
505,2749,97
506,2786,97
507,2643,100
508,2651,101
509,2696,102
510,2754,104
511,2762,105
512,2770,105
513,2763,106
514,2785,107
515,2915,108
516,2916,108
517,2925,108
518,2929,108
519,2931,108
520,6674,108
521,7407,108
522,7710,108
523,2800,109
524,2803,110
525,2814,110
526,2834,110
527,2885,110
528,2919,110
529,2971,110
530,2975,110
531,3021,110
532,3025,110
533,2822,111
534,4507,111
535,7923,111
536,2824,112
537,2868,114
538,2894,114
539,2945,114
540,4425,114
541,4789,114
542,7411,114
543,7986,114
544,2870,115
545,2889,115
546,2893,115
547,3013,115
548,2871,116
549,2888,116
550,2898,117
551,2928,118
552,5176,119
553,3028,120
554,3199,120
555,3427,120
556,3683,120
557,3744,120
558,3828,120
559,3901,120
560,3917,120
561,4017,120
562,4063,120
563,4176,120
564,4457,120
565,4756,120
566,4857,120
567,3035,121
568,3052,124
569,3112,124
570,3151,124
571,3167,124
572,3356,124
573,3432,124
574,3816,124
575,3838,124
576,3880,124
577,3894,124
578,3900,124
579,3915,124
580,4015,124
581,4083,124
582,4144,124
583,4175,124
584,4225,124
585,4238,124
586,4320,124
587,4670,124
588,4948,124
589,4957,124
590,5036,124
591,5157,124
592,3070,125
593,3131,125
594,3184,125
595,3191,125
596,3294,125
597,3307,125
598,3932,125
599,4109,125
600,4173,125
601,4197,125
602,4214,125
603,4326,125
604,4337,125
605,4646,125
606,4746,125
607,4853,125
608,5140,125
609,5169,125
610,5885,125
611,3090,126
612,3116,127
613,3137,127
614,3416,127
615,3492,127
616,4128,127
617,4352,127
618,4678,127
619,4688,127
620,5100,127
621,5151,127
622,3130,128
623,3164,128
624,3306,128
625,3461,128
626,3688,128
627,3918,128
628,3924,128
629,5163,128
630,3145,130
631,4400,130
632,3159,131
633,4411,131
634,4516,131
635,4739,131
636,4897,131
637,2461,132
638,2491,132
639,2792,132
640,3175,132
641,3309,132
642,3457,132
643,3930,132
644,4340,132
645,5161,132
646,3181,133
647,3187,134
648,3222,135
649,3536,135
650,4230,135
651,5099,135
652,3259,136
653,3316,137
654,3371,137
655,3378,137
656,3524,137
657,3547,137
658,3581,137
659,3636,137
660,3693,137
661,3698,137
662,3710,137
663,3796,137
664,3799,137
665,4374,137
666,4637,137
667,5083,137
668,6509,137
669,3338,138
670,3344,138
671,3345,138
672,3505,138
673,3523,138
674,3552,138
675,3573,138
676,3628,138
677,3638,138
678,3641,138
679,3642,138
680,3665,138
681,3674,138
682,3690,138
683,3692,138
684,3696,138
685,3700,138
686,3704,138
687,3719,138
688,3749,138
689,3843,138
690,4157,138
691,4179,138
692,4372,138
693,4560,138
694,4878,138
695,5472,138
696,5670,138
697,5859,138
698,5911,138
699,3455,140
700,3931,140
701,5159,140
702,3047,142
703,3701,142
704,3731,142
705,3809,142
706,3944,142
707,3949,142
708,3751,143
709,3761,144
710,3810,144
711,3818,144
712,3775,145
713,3903,148
714,3940,150
715,5575,150
716,3829,151
717,3945,151
718,4048,152
719,4427,152
720,3994,153
721,4009,156
722,4246,157
723,4823,157
724,4248,158
725,4821,158
726,7410,158
727,7648,158
728,7883,158
729,4072,160
730,4139,161
731,5389,161
732,4166,162
733,4171,163
734,4711,163
735,4844,163
736,4309,164
737,4315,165
738,4341,166
739,4383,166
740,4707,166
741,4719,166
742,4747,166
743,5170,166
744,4367,167
745,4385,169
746,4891,169
747,4389,170
748,4414,171
749,4951,171
750,5224,174
751,8004,175
752,3144,177
753,4517,177
754,6315,177
755,6415,177
756,6504,177
757,4522,178
758,4531,179
759,4905,179
760,4539,180
761,4679,181
762,5969,181
763,4692,182
764,4693,183
765,4705,184
766,5133,184
767,4791,186
768,4815,187
769,4769,188
770,4883,189
771,4933,190
772,4973,191
773,5084,192
774,5147,192
775,5089,193
776,5090,194
777,1406,195
778,5177,195
779,6004,195
780,6375,195
781,5390,199
782,5536,200
783,5619,201
784,5821,202
785,5918,203
786,5999,204
787,6006,206
788,6011,207
789,6012,208
790,6019,209
791,6702,209
792,6034,210
793,6037,211
794,6044,212
795,6068,214
796,6070,215
797,6083,216
798,6084,217
799,6104,219
800,6106,220
801,6122,221
802,6136,222
803,6140,223
804,6203,226
805,6224,227
806,6296,228
807,6153,229
808,6345,229
809,6387,230
810,6390,231
811,6392,232
812,6493,234
813,6495,235
814,6643,237
815,6254,239
816,6670,240
817,6910,240
818,6682,241
819,6733,241
820,6934,241
821,7314,241
822,7328,241
823,7336,241
824,7388,241
825,6727,242
826,6782,242
827,6814,242
828,6840,242
829,6868,242
830,6871,242
831,7253,242
832,7297,242
833,6743,243
834,6744,244
835,6894,244
836,6905,244
837,7318,244
838,7333,244
839,7354,244
840,6759,245
841,6956,245
842,6761,246
843,6961,246
844,6763,247
845,6969,247
846,8817,247
847,6883,248
848,6886,249
849,6900,249
850,6931,251
851,7460,251
852,7461,251
853,7487,251
854,7488,251
855,7510,251
856,7561,251
857,7817,251
858,8060,251
859,8061,251
860,8062,251
861,8063,251
862,8064,251
863,8573,251
864,8574,251
865,6962,252
866,6974,253
867,7012,254
868,7050,254
869,7179,254
870,7247,254
871,7252,254
872,7264,254
873,7132,256
874,7686,256
875,7788,256
876,8729,256
877,9048,256
878,7154,257
879,7155,257
880,7156,257
881,7157,257
882,7158,257
883,7159,257
884,7688,257
885,7689,257
886,7690,257
