personen_buergeraufnahmeId,personenId,ortsId,datum
229,24868,925,10. Mai 1720
230,47077,925,13. Jänner 1720
231,15292,925,20. März 1719
232,46656,925,20. März 1719
233,10324,925,20. März 1719
234,46224,925,20. März 1719
235,47656,925,8. Mai 1719
236,17700,925,4. März 1719
237,47436,925,4. Juli 1718
238,47454,925,26. Jänner 1718
239,9964,925,1. Dezember 1717
240,46365,925,1. Dezember 1717
241,9014,925,20. September 1717
242,47655,925,20. September 1717
243,8098,925,3. Februar 1717
244,22849,925,6. Februar 1717
245,10543,925,12. April 1717
246,16482,925,12. August 1717
247,42309,925,12. April 1717
248,6935,925,20. März 1719
249,23836,925,31. August 1716
250,8273,925,31. August 1716
251,18693,925,2. März 1716
252,10181,925,13. November 1715
253,10090,925,13. November 1715
254,8924,925,13. November 1715
255,8490,925,20. Mai 1715
256,11199,925,20. Mai 1715
257,26080,925,14. Jänner 1715
258,5112,925,14. Jänner 1715
259,9224,925,14. Jänner 1715
260,1118,925,14. Jänner 1715
261,18270,925,14. Jänner 1715
262,9904,925,28. September 1714
263,43989,925,Februar 1744
264,11690,925,6. Februar 1713
265,8191,925,8. Juli 1712
266,8587,925,15. Juni 1712
267,47426,925,14. Jänner 1715
268,46871,925,8.  November 1709
269,46112,925,14. Februar 1710
270,46408,925,14. Februar 1710
271,15578,925,14. Februar 1710
272,8418,925,1. August 1710
273,9870,925,5. November 1710
274,47637,925,5. November 1710
275,7607,925,5. November 1710
276,46463,925,5. November 1710
277,8419,925,5. November 1710
278,20352,925,5. November 1710
279,46466,925,14. März 1711
280,21800,925,14. März 1711
281,10267,925,14. März 1711
282,9735,925,14. März 1711
283,47422,925,14. März 1711
284,8188,925,15. Mai 1711
285,46410,925,15. Mai 1711
286,9008,925,16. November 1711
287,8813,925,16. November 1711
288,8598,925,16. November 1711
289,15475,925,15. September 1706
290,8599,925,15. September 1706
291,18686,925,11. Februar 1707
292,41221,925,13. Juli 1707
293,47089,925,17. September 1707
294,46204,925,20. Juli 1708
295,34859,925,20. Juli 1708
296,10359,925,28. August 1705
297,46800,925,23. Dezember 1705
298,10600,925,23. Februar 1706
299,10641,925,23. Februar 1706
300,41690,925,6. Februar 1700
301,47660,925,6. Februar 1700
302,20661,925,28. August 1700
303,9489,925,17. August 1701
304,47642,925,18. Dezember 1702
305,14080,925,18. Dezember 1702
306,8405,925,18. Dezember 1702
307,9628,925,13. Jänner 1703
308,8816,925,9. Mai 1703
309,8744,925,17. Juli 1703
310,9128,925,17. Juli 1703
311,9093,925,19. Dezember 1703
312,46161,925,Jänner 1747
313,46162,925,Jänner 1747
314,46394,925,Februar 1740
315,46170,925,Juli 1741
