personenId,donauhandelId
47666,2
47667,4
47668,5
47669,6
47670,7
47671,8
47672,9
47673,10
47674,11
47675,12
47676,13
47677,14
47678,15
47679,16
47680,18
47681,19
47682,21
47683,22
47684,23
47685,24
47686,25
47687,26
47688,27
47689,28
47690,29
47691,31
47692,32
47693,33
47694,34
47695,35
47696,36
47697,37
47698,38
47699,39
47700,40
47701,41
47702,42
47703,43
47704,44
47705,46
47706,47
47707,48
47708,49
47709,550
47710,51
47711,52
47712,53
47713,54
47714,55
47715,56
47716,57
47717,59
47718,60
47719,61
47720,549
47721,536
47722,64
47723,65
47724,66
47725,67
47726,68
47727,69
47728,71
47729,72
47730,73
47731,74
47732,75
47733,76
47734,77
47735,78
47736,79
47737,80
47738,81
47739,82
47740,83
47741,84
47742,85
47743,86
47744,87
47745,88
47746,89
47747,90
47748,91
47749,92
47750,93
47751,94
47752,95
47753,96
47754,97
47755,542
47756,99
47757,100
47758,101
47759,102
47760,104
47761,105
47762,106
47763,107
47764,108
47765,109
47766,110
47767,111
47768,112
47769,113
47770,114
47771,115
47772,116
47773,117
47774,118
47775,119
47776,120
47777,121
47778,548
47779,123
47780,124
47781,125
47782,126
47783,127
47784,128
47785,130
47786,131
47787,132
47788,133
47789,134
47790,135
47791,136
47792,137
47793,138
47794,518
47795,140
47796,141
47797,142
47798,143
47799,144
47800,145
47801,146
47802,147
47803,148
47804,150
47805,151
47806,152
47807,153
47808,157
47809,156
47810,158
47811,160
47812,161
47813,162
47814,163
47815,164
47816,165
47817,166
47818,167
47819,551
47820,169
47821,170
47822,171
47823,541
47824,173
47825,174
47826,175
47827,544
47828,177
47829,178
47830,179
47831,180
47832,181
47833,182
47834,183
47835,184
47836,546
47837,186
47838,187
47839,188
47840,189
47841,190
47842,191
47843,192
47844,193
47845,194
47846,195
47847,196
47848,198
47849,199
47850,200
47851,201
47852,202
47853,203
47854,204
47855,206
47856,207
47857,208
47858,209
47859,210
47860,211
47861,212
47862,213
47863,214
47864,215
47865,216
47866,217
47867,219
47868,220
47869,221
47870,222
47871,223
47872,226
47873,227
47874,228
47875,229
47876,230
47877,231
47878,232
47879,517
47880,234
47881,235
47882,236
47883,237
47884,528
47885,239
47886,240
47887,241
47888,242
47889,243
47890,244
47891,245
47892,246
47893,247
47894,248
47895,249
47896,251
47897,252
47898,253
47899,254
47900,255
47901,256
47902,257
47903,258
47904,259
47905,260
47906,261
47907,262
47908,263
47909,264
47910,265
47911,266
47912,267
47913,268
47914,269
47915,270
47916,271
47917,272
47918,273
47919,274
47920,275
47921,276
47922,277
47923,278
47924,545
47925,280
47926,281
47927,282
47928,283
47929,284
47930,285
47931,286
47932,287
47933,288
47934,289
47935,290
47936,291
47937,292
47938,293
47939,294
47940,295
47941,296
47942,297
47943,299
47944,300
47945,301
47946,302
47947,303
47948,304
47949,532
47950,306
47951,307
47952,308
47953,309
47954,310
47955,311
47956,313
47957,314
47958,315
47959,316
47960,317
47961,319
47962,552
47963,321
47964,322
47965,323
47966,325
47967,326
47968,327
47969,328
47970,329
47971,330
47972,331
47973,332
47974,333
47975,543
47976,335
47977,336
47978,337
47979,338
47980,339
47981,340
47982,341
47983,342
47984,343
47985,344
47986,345
47987,346
47988,347
47989,348
47990,349
47991,351
47992,352
47993,355
47994,356
47995,515
47996,358
47997,359
47998,360
47999,361
48000,364
48001,363
48002,365
48003,366
48004,367
48005,368
48006,369
48007,540
48008,372
48009,373
48010,374
48011,375
48012,376
48013,377
48014,378
48015,379
48016,380
48017,381
48018,383
48019,384
48020,385
48021,386
48022,387
48023,388
48024,389
48025,390
48026,391
48027,392
48028,393
48029,394
48030,395
48031,396
48032,397
48033,398
48034,399
48035,400
48036,401
48037,402
48038,403
48039,405
48040,406
48041,407
48042,409
48043,516
48044,411
48045,412
48046,413
48047,414
48048,415
48049,416
48050,417
48051,418
48052,419
48053,420
48054,421
48055,422
48056,423
48057,538
48058,425
48059,426
48060,427
48061,428
48062,429
48063,430
48064,431
48065,432
48066,433
48067,434
48068,435
48069,436
48070,437
48071,438
48072,439
48073,440
48074,441
48075,442
48076,537
48077,444
48078,445
48079,446
48080,447
48081,448
48082,449
48083,450
48084,451
48085,452
48086,453
48087,454
48088,455
48089,457
48090,458
48091,459
48092,462
48093,463
48094,464
48095,514
48096,466
48097,467
48098,468
48099,469
48100,471
48101,472
48102,473
48103,474
48104,475
48105,476
48106,477
48107,478
48108,479
48109,482
48110,483
48111,484
48112,485
48113,486
48114,487
48115,488
48116,489
48117,490
48118,491
48119,492
48120,494
48121,495
48122,496
48123,497
48124,498
48125,499
48126,520
48127,501
48128,502
48129,503
48130,504
48131,505
48132,506
48133,507
48134,508
48135,509
48136,510
48137,511
48138,513
48139,519
48140,555
48141,547
48142,521
48143,522
48144,523
48145,524
48146,525
48147,526
48148,531
48149,533
48150,539
48151,535
48152,553
48153,554
48154,556
48155,557
