personenId,ortsId,ortsartId
2977,2089,2
2981,2095,2
2982,2099,2
2980,2103,2
2985,2107,2
2979,2110,2
4385,2168,2
3173,488,2
8584,2235,2
8591,2238,2
30445,2241,2
11690,2245,2
8490,2248,2
11199,2251,2
26963,2256,2
9740,2259,2
17118,2262,2
43789,2265,2
15941,2268,2
15439,2275,2
23558,2278,2
29696,2288,2
43797,2301,2
43798,2304,2
43800,2308,2
43801,2311,2
9481,2316,2
24198,2428,2
9058,2445,2
8923,2449,2
279,2455,2
8191,2458,2
28699,2459,2
43793,2462,2
8191,925,2
43786,925,2
8584,925,2
8591,925,2
11690,925,2
8490,925,2
11199,925,2
43788,925,2
26963,925,2
9740,925,2
17118,925,2
43789,925,2
15941,925,2
15439,925,2
23558,925,2
28699,925,2
43793,925,2
43797,925,2
43800,925,2
43801,925,2
9481,925,2
24198,925,2
43842,925,2
9058,925,2
8923,925,2
279,925,2
9136,925,2
10559,925,2
8116,925,2
43849,925,2
13158,925,2
43851,925,2
43852,925,2
20661,925,2
43853,925,2
4528,925,2
15430,925,2
22849,925,2
43855,925,2
43856,925,2
7607,925,2
26346,925,2
23453,925,2
43858,925,2
34421,925,2
43860,925,2
43862,925,2
43865,925,2
15867,925,2
9468,925,2
8746,925,2
28298,925,2
12143,925,2
43868,925,2
8671,925,2
43871,925,2
43872,925,2
27714,925,2
43874,925,2
43876,925,2
43877,925,2
9612,925,2
43879,925,2
10201,925,2
8178,925,2
37766,925,2
5112,925,2
9677,925,2
9488,925,2
43881,925,2
14705,925,2
9952,925,2
43883,925,2
10321,925,2
43884,925,2
9548,925,2
43888,925,2
23646,925,2
39771,925,2
15544,925,2
43891,925,2
43892,925,2
11956,925,2
8594,925,2
8423,925,2
43893,925,2
43894,925,2
43895,925,2
43896,925,2
43899,925,2
43901,925,2
43902,925,2
4646,925,2
23672,925,2
43909,925,2
22697,925,2
12565,925,2
43910,925,2
39083,925,2
43912,925,2
19355,925,2
25146,925,2
23655,925,2
29664,925,2
43918,925,2
8747,925,2
43920,925,2
22485,925,2
30347,925,2
27912,925,2
26819,925,2
29663,925,2
28746,925,2
43928,925,2
43929,925,2
43930,925,2
43938,925,2
30064,925,2
43940,925,2
36092,925,2
37039,925,2
21763,925,2
43955,925,2
43956,925,2
43958,925,2
43960,925,2
43963,925,2
43795,925,2
43966,925,2
43968,925,2
43969,925,2
43974,925,2
43979,925,2
43981,925,2
43984,925,2
37701,925,2
43986,925,2
43992,925,2
