personen_verwandtschaftsId,personenId1,verwandschaftsverhaeltnisseId,personenId2
325,13222,6,47406
326,47414,3,6108
327,47414,3,47413
328,23727,4,26327
329,23727,3,8802
330,13951,6,26327
331,13951,6,23727
332,26327,4,23727
333,26327,3,8802
334,8802,6,26327
335,8802,6,23727
336,47429,7,26327
337,47429,7,23727
338,47514,4,47512
339,47512,4,47514
340,47516,22,47512
341,47512,14,47516
342,47517,6,47512
343,47517,6,47514
344,47517,11,47515
345,47517,11,47516
346,47512,3,47517
347,47514,14,47515
348,47514,3,47517
349,47556,4,46153
350,46153,4,47556
351,18219,4,47574
352,47574,4,18219
353,44051,14,44053
354,44053,14,44051
355,47576,3,8487
356,8487,6,47576
357,47579,16,47577
358,47577,10,47579
359,47580,3,8802
360,47589,3,47586
361,47589,3,47588
362,47586,6,47589
363,47588,7,47589
364,47448,4,47596
365,47596,4,47448
366,17742,3,10668
367,10668,6,17742
368,11771,6,39010
369,39010,3,11771
370,8682,10,14511
371,18982,11,8682
372,332,13,7998
373,7998,8,332
374,34467,14,7998
375,7998,14,34467
376,7998,6,14710
377,14710,3,7998
378,10829,4,10050
379,10050,4,10829
380,13378,21,10829
381,10829,11,13378
382,22503,4,27320
383,27320,4,22503
384,32581,6,8585
385,8585,3,32581
386,8585,4,38142
387,38142,3,32581
388,38142,4,8585
389,44054,10,3193
390,44051,4,41827
391,41827,4,44051
392,40865,4,11107
393,11107,4,40865
394,292,10,6356
395,6356,11,292
396,10123,10,6356
397,10123,14,292
398,292,14,10123
399,40865,3,6356
400,40865,14,292
401,40865,14,10123
402,292,14,11107
403,292,14,40865
404,6356,11,10123
405,6356,6,40865
406,6356,6,11107
407,7776,11,8168
408,11107,3,6356
409,11107,14,10123
410,11107,14,292
411,9016,3,10295
412,10295,6,9016
413,44881,3,32465
414,32465,6,44881
416,24111,4,10356
417,10356,4,24111
418,13251,3,32199
419,8388,11,23771
420,23771,10,8388
421,46698,14,11940
422,9838,4,46699
423,43809,13,43805
424,43809,13,22880
425,43805,4,22880
426,43805,8,43809
427,22880,8,43809
428,43808,4,43809
429,43808,13,24663
430,8744,11,42886
431,43854,6,43978
432,43854,11,43977
433,43978,3,43854
434,47123,3,4644
435,4644,6,47123
436,42886,15,47120
437,47120,15,42886
438,13785,4,16917
439,1576,6,1579
440,1579,3,1576
441,1118,6,44046
442,1118,11,44045
443,870,6,867
444,32598,11,8754
445,16840,16,9950
446,9950,10,16840
447,32558,11,8189
